datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm10.0_atm,pm2.5_corrected
2021-05-04 00:00:00+00:00,1620086400,98435,56.0,21.9,13.9,29.15,14.711860000000001
2021-05-27 00:00:00+00:00,1622073600,98435,42.067,15.9,0.7,0.396,2.1798925999999996
2021-05-28 00:00:00+00:00,1622160000,98435,40.606,13.1,1.3,1.385,2.6883508000000003
2021-05-29 00:00:00+00:00,1622246400,98435,46.546,14.5,1.3,1.404,2.1716068
2021-05-30 00:00:00+00:00,1622332800,98435,53.664,14.8,2.3,3.101,2.4147752000000002
2021-05-31 00:00:00+00:00,1622419200,98435,58.801,14.6,8.9,17.105,8.5549778
2021-06-01 00:00:00+00:00,1622505600,98435,57.286,15.8,14.5,26.558,13.7573668
2021-06-02 00:00:00+00:00,1622592000,98435,56.072,17.3,12.8,23.436,12.115259600000002
2021-06-03 00:00:00+00:00,1622678400,98435,73.753,15.0,20.5,35.925,18.754246758475006
2021-06-04 00:00:00+00:00,1622764800,98435,50.506,15.7,2.5,3.106,2.7745028000000005
2021-06-05 00:00:00+00:00,1622851200,98435,52.886,13.3,10.3,18.854,10.531264799999999
2021-06-06 00:00:00+00:00,1622937600,98435,57.283,14.4,10.9,20.022,10.9096854
2021-06-07 00:00:00+00:00,1623024000,98435,51.674,16.1,2.6,3.45,2.7801932000000003
2021-06-08 00:00:00+00:00,1623110400,98435,62.24,16.2,4.7,7.129,3.741132
2021-06-09 00:00:00+00:00,1623196800,98435,53.06,12.3,1.3,1.676,1.9077320000000002
2021-06-10 00:00:00+00:00,1623283200,98435,72.926,10.1,7.9,15.288,6.484068800000001
2021-06-11 00:00:00+00:00,1623369600,98435,57.775,13.9,3.3,4.732,2.9878870000000006
2021-06-12 00:00:00+00:00,1623456000,98435,51.854,13.9,6.4,11.248,6.6661192
2021-06-13 00:00:00+00:00,1623542400,98435,47.815,15.3,6.1,10.259,6.5311530000000015
2021-06-14 00:00:00+00:00,1623628800,98435,59.376,16.5,9.0,15.314,8.0102328
2021-06-15 00:00:00+00:00,1623715200,98435,67.701,14.8,11.6,20.495,9.8733178
2021-06-16 00:00:00+00:00,1623801600,98435,59.587,16.4,3.6,5.192,3.0507245999999997
2021-06-17 00:00:00+00:00,1623888000,98435,50.21,14.4,2.0,2.492,2.482474
2021-06-18 00:00:00+00:00,1623974400,98435,51.049,16.0,0.9,0.725,1.6291302000000005
2021-06-19 00:00:00+00:00,1624060800,98435,60.482,14.8,1.0,1.398,0.8199356
2021-06-20 00:00:00+00:00,1624147200,98435,71.624,13.7,1.4,1.822,0.11625520000000122
2021-06-21 00:00:00+00:00,1624233600,98435,60.328,17.2,1.4,1.765,1.0766083999999996
2021-07-05 00:00:00+00:00,1625443200,98435,30.403,23.6,3.7,7.211,5.6942414
2021-07-06 00:00:00+00:00,1625529600,98435,42.37,18.2,3.8,6.914,5.072192
2021-07-11 00:00:00+00:00,1625961600,98435,62.651,16.0,9.8,16.936,8.4651958
2021-07-12 00:00:00+00:00,1626048000,98435,33.891,25.6,3.2,4.342,4.8381358
2021-07-13 00:00:00+00:00,1626134400,98435,31.394,25.8,2.6,3.141,4.5073692
2021-07-14 00:00:00+00:00,1626220800,98435,33.918,25.8,1.9,1.759,3.6036224
2021-07-15 00:00:00+00:00,1626307200,98435,35.27,25.9,2.2,2.38,3.814318
2021-07-16 00:00:00+00:00,1626393600,98435,29.32,25.3,0.4,0.088,3.226546
2021-07-17 00:00:00+00:00,1626480000,98435,27.37,23.4,0.5,0.106,3.409308
2021-07-18 00:00:00+00:00,1626566400,98435,28.765,23.6,1.6,1.514,3.951133
2021-07-19 00:00:00+00:00,1626652800,98435,26.034,25.1,2.5,3.13,4.9573492
2021-07-20 00:00:00+00:00,1626739200,98435,24.995,25.4,0.7,0.206,3.660669
2021-07-21 00:00:00+00:00,1626825600,98435,22.732,25.0,2.0,2.314,4.8382396
2021-07-22 00:00:00+00:00,1626912000,98435,24.119,25.4,1.9,1.881,4.519560200000001
2021-07-23 00:00:00+00:00,1626998400,98435,30.183,25.1,5.2,8.096,7.1143814
2021-07-24 00:00:00+00:00,1627084800,98435,29.313,23.3,1.2,1.038,3.7102774
2021-07-25 00:00:00+00:00,1627171200,98435,24.633,22.9,0.7,0.36,3.7353654
2021-07-26 00:00:00+00:00,1627257600,98435,26.695,25.3,0.8,0.37,3.577271
2021-07-27 00:00:00+00:00,1627344000,98435,27.702,25.5,0.8,0.43,3.4923016
2021-07-28 00:00:00+00:00,1627430400,98435,26.045,26.0,0.8,0.26,3.573565
2021-07-29 00:00:00+00:00,1627516800,98435,22.473,25.3,2.0,2.386,4.8595174000000005
2021-07-30 00:00:00+00:00,1627603200,98435,23.883,25.0,4.6,6.942,7.0270694
