datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm10.0_atm,pm2.5_corrected
2021-02-01 18:00:00+00:00,1612202400,98435,17.0,20.9,2.8,3.258,5.747346
2021-02-01 19:00:00+00:00,1612206000,98435,17.666,22.4,107.4,163.464,143.7201828
2021-02-01 20:00:00+00:00,1612209600,98435,18.4,22.7,89.6,124.557,119.270083
2021-02-02 19:00:00+00:00,1612292400,98435,17.241,24.8,135.1,277.274,204.42919176297602
2021-02-02 20:00:00+00:00,1612296000,98435,15.5,27.9,64.8,90.774,87.350262
2021-02-02 21:00:00+00:00,1612299600,98435,15.0,28.3,4.7,7.853,7.581874
2021-05-04 06:00:00+00:00,1620108000,98435,56.0,21.9,13.9,29.15,14.711860000000001
2021-05-27 23:00:00+00:00,1622156400,98435,42.067,15.9,0.7,0.396,2.1798925999999996
2021-05-28 00:00:00+00:00,1622160000,98435,36.934,17.1,0.7,0.444,2.6179032
2021-05-28 01:00:00+00:00,1622163600,98435,29.2,18.1,0.7,0.366,3.2822160000000005
2021-05-28 02:00:00+00:00,1622167200,98435,27.367,18.3,0.7,0.398,3.4446746
2021-05-28 03:00:00+00:00,1622170800,98435,27.666,18.4,0.6,0.258,3.3885088000000003
2021-05-28 04:00:00+00:00,1622174400,98435,27.166,17.8,0.7,0.342,3.4399928
2021-05-28 05:00:00+00:00,1622178000,98435,28.233,16.8,0.7,0.503,3.3752654
2021-05-28 06:00:00+00:00,1622181600,98435,33.033,15.8,1.2,1.102,3.1766074
2021-05-28 07:00:00+00:00,1622185200,98435,34.666,14.8,1.2,1.027,3.0371528000000003
2021-05-28 08:00:00+00:00,1622188800,98435,33.834,14.2,1.8,2.133,3.5975012
2021-05-28 09:00:00+00:00,1622192400,98435,38.233,13.3,1.9,2.186,3.2673014000000005
2021-05-28 10:00:00+00:00,1622196000,98435,43.7,11.7,2.4,3.196,3.2616199999999997
2021-05-28 11:00:00+00:00,1622199600,98435,47.867,11.1,2.6,3.676,3.0821566000000002
2021-05-28 12:00:00+00:00,1622203200,98435,49.2,10.6,2.4,3.258,2.8323220000000005
2021-05-28 13:00:00+00:00,1622206800,98435,48.367,10.6,2.6,3.797,3.1142506
2021-05-28 14:00:00+00:00,1622210400,98435,46.633,10.5,1.8,2.228,2.5301213999999996
2021-05-28 15:00:00+00:00,1622214000,98435,45.433,10.4,1.3,1.396,2.2248414000000003
2021-05-28 16:00:00+00:00,1622217600,98435,45.934,10.1,1.3,1.41,2.1601712
2021-05-28 17:00:00+00:00,1622221200,98435,47.034,9.9,1.3,1.638,2.2283152
2021-05-28 18:00:00+00:00,1622224800,98435,47.067,10.4,0.7,0.525,1.7517745999999996
2021-05-28 19:00:00+00:00,1622228400,98435,47.034,10.6,0.6,0.472,1.7281572
2021-05-28 20:00:00+00:00,1622232000,98435,48.933,10.3,0.7,0.617,1.6095274000000002
2021-05-28 21:00:00+00:00,1622235600,98435,50.466,9.9,0.8,0.641,1.4828848
