datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm10.0_atm,pm2.5_corrected
2021-02-28 13:00:00+00:00,1614517200,91721,42.034,29.2,4.5,6.957,5.6510932
2021-02-28 14:00:00+00:00,1614520800,91721,42.367,29.4,4.3,6.534,5.4062386
2021-02-28 15:00:00+00:00,1614524400,91721,42.867,29.1,4.0,6.171,5.201484600000001
2021-02-28 16:00:00+00:00,1614528000,91721,43.0,28.9,3.9,5.958,5.064522
2021-02-28 17:00:00+00:00,1614531600,91721,43.0,28.9,3.8,5.698,4.929854000000001
2021-02-28 18:00:00+00:00,1614535200,91721,43.0,28.9,3.7,5.683,4.944788
2021-02-28 19:00:00+00:00,1614538800,91721,43.067,28.9,3.7,5.669,4.9023326
2021-02-28 20:00:00+00:00,1614542400,91721,40.367,27.4,2.9,4.452,4.5337826
2021-02-28 21:00:00+00:00,1614546000,91721,42.3,26.0,2.8,4.186,4.236420000000001
2021-02-28 22:00:00+00:00,1614549600,91721,44.467,25.8,4.0,6.09,5.040508600000001
2021-02-28 23:00:00+00:00,1614553200,91721,43.7,26.7,5.9,9.137,6.605525999999999
2021-03-01 00:00:00+00:00,1614556800,91721,40.633,26.7,7.3,11.536,8.0837474
2021-03-01 01:00:00+00:00,1614560400,91721,39.8,26.9,8.0,12.803,8.782256
2021-03-01 02:00:00+00:00,1614564000,91721,37.5,26.7,7.4,11.772,8.441582
2021-03-01 03:00:00+00:00,1614567600,91721,37.7,27.4,6.5,10.472,7.7158940000000005
2021-03-01 04:00:00+00:00,1614571200,91721,34.7,27.6,7.2,11.628,8.603032
2021-03-01 05:00:00+00:00,1614574800,91721,35.267,27.2,7.0,11.493,8.5111886
2021-03-01 06:00:00+00:00,1614578400,91721,36.0,26.7,6.2,10.166,7.820776
2021-03-01 07:00:00+00:00,1614582000,91721,38.666,27.7,7.4,12.058,8.5331188
2021-03-01 08:00:00+00:00,1614585600,91721,41.767,29.0,8.6,14.091,9.3745966
2021-03-01 09:00:00+00:00,1614589200,91721,42.933,29.4,9.6,15.836,10.110391400000001
2021-03-01 10:00:00+00:00,1614592800,91721,43.0,29.4,9.7,16.083,10.24531
2021-03-01 11:00:00+00:00,1614596400,91721,42.4,29.4,9.1,15.208,9.843770000000001
2021-03-01 12:00:00+00:00,1614600000,91721,42.0,29.4,8.8,14.661,9.533196
2021-03-01 13:00:00+00:00,1614603600,91721,42.733,29.4,9.0,15.036,9.636905400000002
2021-03-01 14:00:00+00:00,1614607200,91721,42.433,29.4,9.6,16.026,10.1519194
2021-03-01 15:00:00+00:00,1614610800,91721,42.034,29.3,9.5,15.813,10.0927792
