Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
798,2023-07-01,1,12 am - 1 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,1,12 am - 1 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,2,1 am - 2 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,2,1 am - 2 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,2,1 am - 2 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,2,1 am - 2 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,3,2 am - 3 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,3,2 am - 3 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,3,2 am - 3 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,3,2 am - 3 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,4,3 am - 4 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,4,3 am - 4 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,4,3 am - 4 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,4,3 am - 4 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,5,4 am - 5 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,5,4 am - 5 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,5,4 am - 5 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,5,4 am - 5 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,6,5 am - 6 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,6,5 am - 6 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,6,5 am - 6 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,6,5 am - 6 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,7,6 am - 7 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,7,6 am - 7 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,7,6 am - 7 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,7,6 am - 7 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,8,7 am - 8 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,8,7 am - 8 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,8,7 am - 8 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,8,7 am - 8 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,9,8 am - 9 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,9,8 am - 9 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,9,8 am - 9 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,9,8 am - 9 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,10,9 am - 10 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,10,9 am - 10 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,10,9 am - 10 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,10,9 am - 10 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,11,10 am - 11 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,11,10 am - 11 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,11,10 am - 11 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,11,10 am - 11 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,12,11 am - 12 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,12,11 am - 12 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,12,11 am - 12 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,12,11 am - 12 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,13,12 pm - 1 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,13,12 pm - 1 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,13,12 pm - 1 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,13,12 pm - 1 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,14,1 pm - 2 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,14,1 pm - 2 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,14,1 pm - 2 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,14,1 pm - 2 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,15,2 pm - 3 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,15,2 pm - 3 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,15,2 pm - 3 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,15,2 pm - 3 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,16,3 pm - 4 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,16,3 pm - 4 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,16,3 pm - 4 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,16,3 pm - 4 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,17,4 pm - 5 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,17,4 pm - 5 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,17,4 pm - 5 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,17,4 pm - 5 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,18,5 pm - 6 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,18,5 pm - 6 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,18,5 pm - 6 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,18,5 pm - 6 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,19,6 pm - 7 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,19,6 pm - 7 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,19,6 pm - 7 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,19,6 pm - 7 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,20,7 pm - 8 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,20,7 pm - 8 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,20,7 pm - 8 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,20,7 pm - 8 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,21,8 pm - 9 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,21,8 pm - 9 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,21,8 pm - 9 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,21,8 pm - 9 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,22,9 pm - 10 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,22,9 pm - 10 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,22,9 pm - 10 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,22,9 pm - 10 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,23,10 pm - 11 pm,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,23,10 pm - 11 pm,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,23,10 pm - 11 pm,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,23,10 pm - 11 pm,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-01,24,11 pm - 12 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-01,24,11 pm - 12 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,24,11 pm - 12 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-01,24,11 pm - 12 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,1,12 am - 1 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,1,12 am - 1 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,2,1 am - 2 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,2,1 am - 2 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,2,1 am - 2 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,2,1 am - 2 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,3,2 am - 3 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,3,2 am - 3 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,3,2 am - 3 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,3,2 am - 3 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,4,3 am - 4 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,4,3 am - 4 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,4,3 am - 4 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,4,3 am - 4 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,5,4 am - 5 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,5,4 am - 5 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,5,4 am - 5 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,5,4 am - 5 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,6,5 am - 6 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,6,5 am - 6 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,6,5 am - 6 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,6,5 am - 6 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,7,6 am - 7 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,7,6 am - 7 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,7,6 am - 7 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,7,6 am - 7 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,8,7 am - 8 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,8,7 am - 8 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,8,7 am - 8 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,8,7 am - 8 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,9,8 am - 9 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,9,8 am - 9 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,9,8 am - 9 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,9,8 am - 9 am,,,,TEMP,Temperature,°C,degree Celsius,Averages,Hourly,Hourly average
798,2023-07-02,10,9 am - 10 am,,,,HUMID,Humidity,%,percent,Averages,Hourly,Hourly average
798,2023-07-02,10,9 am - 10 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
798,2023-07-02,10,9 am - 10 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Hourly,Hourly average
