datetime_utc,timestamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm10.0_atm,pm2.5_corrected
2019-04-02 20:00:00+00:00,1554235200,2330,208967,27.186,21.1,37.8,69.344,34.30150723999999
2019-04-02 21:00:00+00:00,1554238800,2330,208967,24.166,23.6,0.3,0.414,3.8877568
2019-04-04 16:00:00+00:00,1554393600,2330,208967,29.968,20.7,37.6,71.756,56.639517399999995
2019-04-04 17:00:00+00:00,1554397200,2330,208967,25.75,23.8,0.1,0.387,3.58799
2019-05-12 23:00:00+00:00,1557702000,2330,208967,35.0,25.0,3.3,5.935,5.627314
2019-05-13 00:00:00+00:00,1557705600,2330,208967,37.563,24.1,3.5,6.3,5.4949394
2019-05-13 01:00:00+00:00,1557709200,2330,208967,36.274,24.6,3.6,6.024,5.5185432
2019-05-13 02:00:00+00:00,1557712800,2330,208967,36.575,25.0,2.7,4.497,4.681183
2019-05-13 03:00:00+00:00,1557716400,2330,208967,37.166,25.6,1.9,2.779,3.8437148000000008
2019-05-13 04:00:00+00:00,1557720000,2330,208967,37.36,26.0,2.5,4.152,4.34025
2019-05-13 05:00:00+00:00,1557723600,2330,208967,37.535,26.4,9.9,19.037,11.573657
2019-05-13 06:00:00+00:00,1557727200,2330,208967,37.466,26.7,11.6,26.144,13.655954800000002
2019-05-13 07:00:00+00:00,1557730800,2330,208967,37.508,26.3,0.7,0.783,2.9360104
2019-05-13 08:00:00+00:00,1557734400,2330,208967,38.0,26.1,0.7,0.783,2.8909800000000003
2019-05-13 09:00:00+00:00,1557738000,2330,208967,38.0,25.8,0.7,0.913,2.954384
2019-05-13 10:00:00+00:00,1557741600,2330,208967,38.0,25.6,0.8,0.988,2.9693180000000003
2019-05-13 11:00:00+00:00,1557745200,2330,208967,38.672,25.6,0.9,1.24,2.9742716000000002
2019-05-13 12:00:00+00:00,1557748800,2330,208967,39.0,25.0,1.1,1.562,3.1176079999999997
2019-05-13 13:00:00+00:00,1557752400,2330,208967,39.0,25.0,1.3,2.107,3.40345
2019-05-13 14:00:00+00:00,1557756000,2330,208967,39.0,25.0,1.6,2.586,3.6345340000000004
2019-05-13 15:00:00+00:00,1557759600,2330,208967,39.0,25.0,1.8,3.09,3.879766
2019-05-13 16:00:00+00:00,1557763200,2330,208967,39.0,24.5,2.0,3.527,4.09513
2019-05-13 17:00:00+00:00,1557766800,2330,208967,39.0,24.4,2.4,4.004,4.323332
2019-05-13 18:00:00+00:00,1557770400,2330,208967,39.0,24.4,2.6,4.255,4.453284
2019-05-13 19:00:00+00:00,1557774000,2330,208967,39.0,24.4,2.8,4.712,4.673363999999999
