Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
1350,2019-04-30,1,12 am - 1 am,6.78694,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-04-30,1,12 am - 1 am,0.526699,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-05-31,1,12 am - 1 am,17.401811,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-05-31,1,12 am - 1 am,11.931825,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-06-30,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-06-30,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-07-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-07-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-08-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-08-31,1,12 am - 1 am,17.4378,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-09-30,1,12 am - 1 am,33.081005,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-09-30,1,12 am - 1 am,14.140628,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-10-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-10-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-11-30,1,12 am - 1 am,75.353845,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-11-30,1,12 am - 1 am,46.864144,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-12-31,1,12 am - 1 am,69.203313,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2019-12-31,1,12 am - 1 am,52.710773,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-01-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-01-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-02-29,1,12 am - 1 am,10.226912,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-02-29,1,12 am - 1 am,3.878513,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-03-31,1,12 am - 1 am,5.929069,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-03-31,1,12 am - 1 am,2.608769,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-04-30,1,12 am - 1 am,12.072167,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-04-30,1,12 am - 1 am,6.897331,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-05-31,1,12 am - 1 am,17.067022,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-05-31,1,12 am - 1 am,14.510626,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-06-30,1,12 am - 1 am,18.643208,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-06-30,1,12 am - 1 am,16.376124,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-07-31,1,12 am - 1 am,19.341222,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-07-31,1,12 am - 1 am,16.946535,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1350,2020-08-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
