datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2019-04-02 00:00:00+00:00,1554163200,29949,24.492,21.9,11.6,19.793,25.228
2019-04-04 00:00:00+00:00,1554336000,29949,26.853,22.2,17.9,30.929,39.945
2019-05-10 00:00:00+00:00,1557446400,29949,28.886,25.0,1.3,1.512,2.048
2019-05-11 00:00:00+00:00,1557532800,29949,28.156,24.5,2.0,2.6095,2.954
2019-05-12 00:00:00+00:00,1557619200,29949,29.686,24.5,3.3,5.103999999999999,5.734
2019-05-13 00:00:00+00:00,1557705600,29949,34.612,26.0,2.5,3.5465,4.069
2019-05-14 00:00:00+00:00,1557792000,29949,34.279,27.2,2.0,2.6645000000000003,3.082
2019-05-23 00:00:00+00:00,1558569600,29949,48.0,23.6,3.4,5.6065000000000005,6.175
2019-05-30 00:00:00+00:00,1559174400,29949,47.87,4.2,9.3,21.8285,25.706
2019-05-31 00:00:00+00:00,1559260800,29949,45.261,6.3,20.7,47.9525,49.558
2019-06-01 00:00:00+00:00,1559347200,29949,58.811,12.6,17.1,33.7355,31.434
2019-06-02 00:00:00+00:00,1559433600,29949,64.041,12.2,13.7,25.712,27.364
2019-06-03 00:00:00+00:00,1559520000,29949,66.403,5.9,5.0,9.5295,11.602
2019-06-04 00:00:00+00:00,1559606400,29949,62.604,8.0,5.1,9.4295,11.56
2019-06-05 00:00:00+00:00,1559692800,29949,59.848,6.3,20.5,45.96,46.858
2019-06-06 00:00:00+00:00,1559779200,29949,46.657,9.0,32.3,71.3605,65.088
2019-06-07 00:00:00+00:00,1559865600,29949,61.54,12.5,5.6,10.0795,11.144
2019-06-08 00:00:00+00:00,1559952000,29949,66.22,12.9,8.7,15.6935,17.548
2019-06-09 00:00:00+00:00,1560038400,29949,60.117,9.7,21.9,45.7355,44.963
2019-06-10 00:00:00+00:00,1560124800,29949,59.526,11.3,23.5,47.2815,44.722
2019-06-11 00:00:00+00:00,1560211200,29949,54.16,10.6,20.0,41.88,43.656
