datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2019-04-02 17:00:00+00:00,1554224400,29949,26.166,19.7,0.8,0.486,0.358
2019-04-02 18:00:00+00:00,1554228000,29949,24.309,22.2,33.9,58.6585,74.998
2019-04-02 19:00:00+00:00,1554231600,29949,23.0,23.7,0.1,0.235,0.33
2019-04-04 16:00:00+00:00,1554393600,29949,28.706,20.6,35.7,61.673,79.5
2019-04-04 17:00:00+00:00,1554397200,29949,25.0,23.8,0.1,0.185,0.39
2019-05-10 01:00:00+00:00,1557450000,29949,28.25,26.1,3.0,5.6635,6.794
2019-05-10 02:00:00+00:00,1557453600,29949,28.322,26.4,3.6,5.9485,6.768
2019-05-10 05:00:00+00:00,1557464400,29949,32.596,25.6,7.8,13.257,19.779
2019-05-10 06:00:00+00:00,1557468000,29949,30.494,26.5,0.8,0.5635,0.793
2019-05-10 07:00:00+00:00,1557471600,29949,29.381,26.1,0.5,0.223,0.357
2019-05-10 08:00:00+00:00,1557475200,29949,29.044,26.1,0.7,0.3905,0.52
2019-05-10 09:00:00+00:00,1557478800,29949,29.0,25.6,0.6,0.325,0.54
2019-05-10 10:00:00+00:00,1557482400,29949,29.0,25.5,0.6,0.281,0.411
2019-05-10 11:00:00+00:00,1557486000,29949,29.0,25.1,0.7,0.356,0.517
2019-05-10 12:00:00+00:00,1557489600,29949,29.0,25.0,0.7,0.427,0.604
2019-05-10 13:00:00+00:00,1557493200,29949,29.0,25.0,0.8,0.5415,0.732
2019-05-10 14:00:00+00:00,1557496800,29949,28.913,24.5,0.8,0.5375,0.732
2019-05-10 15:00:00+00:00,1557500400,29949,28.619,24.4,0.8,0.5735,0.737
2019-05-10 16:00:00+00:00,1557504000,29949,28.561,24.4,0.9,0.6419999999999999,0.799
2019-05-10 17:00:00+00:00,1557507600,29949,28.0,24.1,0.8,0.5229999999999999,0.746
2019-05-10 18:00:00+00:00,1557511200,29949,28.0,23.9,0.7,0.4335,0.576
2019-05-10 19:00:00+00:00,1557514800,29949,28.047,23.9,0.6,0.268,0.414
2019-05-10 20:00:00+00:00,1557518400,29949,28.093,23.9,0.5,0.187,0.305
2019-05-10 21:00:00+00:00,1557522000,29949,28.623,23.9,0.5,0.186,0.272
2019-05-10 22:00:00+00:00,1557525600,29949,28.644,23.9,0.5,0.187,0.286
2019-05-10 23:00:00+00:00,1557529200,29949,28.021,24.4,0.5,0.2365,0.324
2019-05-11 00:00:00+00:00,1557532800,29949,28.0,24.6,0.6,0.3055,0.383
2019-05-11 01:00:00+00:00,1557536400,29949,28.0,25.0,0.9,0.7215,0.906
2019-05-11 02:00:00+00:00,1557540000,29949,28.0,25.0,1.3,1.2975,1.502
2019-05-11 03:00:00+00:00,1557543600,29949,27.816,25.6,1.6,1.8725,2.149
2019-05-11 04:00:00+00:00,1557547200,29949,27.116,25.5,1.8,2.223,2.648
