Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
795,2021-02-28,1,12 am - 1 am,12.174543,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-02-28,1,12 am - 1 am,3.576302,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-03-31,1,12 am - 1 am,13.487632,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-03-31,1,12 am - 1 am,3.455786,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-04-30,1,12 am - 1 am,19.297897,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-04-30,1,12 am - 1 am,7.999902,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-05-31,1,12 am - 1 am,11.256084,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-05-31,1,12 am - 1 am,6.141182,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-06-30,1,12 am - 1 am,7.888907,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-06-30,1,12 am - 1 am,5.685157,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-07-31,1,12 am - 1 am,8.701976,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-07-31,1,12 am - 1 am,5.872218,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-08-31,1,12 am - 1 am,9.577739,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-08-31,1,12 am - 1 am,6.403331,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-09-30,1,12 am - 1 am,9.697069,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-09-30,1,12 am - 1 am,5.106529,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-10-31,1,12 am - 1 am,11.033735,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-10-31,1,12 am - 1 am,5.254319,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-11-30,1,12 am - 1 am,9.479386,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-11-30,1,12 am - 1 am,3.198545,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-12-31,1,12 am - 1 am,10.613153,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2021-12-31,1,12 am - 1 am,4.310573,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-01-31,1,12 am - 1 am,10.141286,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-01-31,1,12 am - 1 am,4.185295,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-02-28,1,12 am - 1 am,10.663903,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-02-28,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-03-31,1,12 am - 1 am,9.338897,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-03-31,1,12 am - 1 am,2.673894,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-04-30,1,12 am - 1 am,9.271248,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-04-30,1,12 am - 1 am,3.846468,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-05-31,1,12 am - 1 am,7.982407,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-05-31,1,12 am - 1 am,4.372244,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-06-30,1,12 am - 1 am,6.973405,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-06-30,1,12 am - 1 am,5.209641,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-07-31,1,12 am - 1 am,7.27318,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-07-31,1,12 am - 1 am,4.605343,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-08-31,1,12 am - 1 am,7.482097,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-08-31,1,12 am - 1 am,4.769157,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-09-30,1,12 am - 1 am,8.235275,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-09-30,1,12 am - 1 am,4.087799,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-10-31,1,12 am - 1 am,8.303441,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-10-31,1,12 am - 1 am,3.302403,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-11-30,1,12 am - 1 am,9.074953,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-11-30,1,12 am - 1 am,3.391873,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
795,2022-12-31,1,12 am - 1 am,12.15576,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
