datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-01 00:00:00+00:00,1612137600,98435,17.689,22.0,66.6,108.903,97.093
2021-02-02 00:00:00+00:00,1612224000,98435,15.914,27.0,68.2,116.1735,125.3
2021-05-04 00:00:00+00:00,1620086400,98435,56.0,21.9,13.9,26.315,29.15
2021-05-27 00:00:00+00:00,1622073600,98435,42.067,15.9,0.7,0.107,0.396
2021-05-28 00:00:00+00:00,1622160000,98435,40.606,13.1,1.3,0.837,1.385
2021-05-29 00:00:00+00:00,1622246400,98435,46.546,14.5,1.3,0.8280000000000001,1.404
2021-05-30 00:00:00+00:00,1622332800,98435,53.664,14.8,2.3,2.463,3.101
2021-05-31 00:00:00+00:00,1622419200,98435,58.801,14.6,8.9,15.026,17.105
2021-06-01 00:00:00+00:00,1622505600,98435,57.286,15.8,14.5,24.705,26.558
2021-06-02 00:00:00+00:00,1622592000,98435,56.072,17.3,12.8,21.3715,23.436
2021-06-03 00:00:00+00:00,1622678400,98435,73.753,15.0,20.5,33.7685,35.925
2021-06-04 00:00:00+00:00,1622764800,98435,50.506,15.7,2.5,2.63,3.106
2021-06-05 00:00:00+00:00,1622851200,98435,52.886,13.3,10.3,17.8245,18.854
2021-06-06 00:00:00+00:00,1622937600,98435,57.283,14.4,10.9,19.27,20.022
2021-06-07 00:00:00+00:00,1623024000,98435,51.674,16.1,2.6,2.833,3.45
2021-06-08 00:00:00+00:00,1623110400,98435,62.24,16.2,4.7,6.404999999999999,7.129
2021-06-09 00:00:00+00:00,1623196800,98435,53.06,12.3,1.3,1.396,1.676
2021-06-10 00:00:00+00:00,1623283200,98435,72.926,10.1,7.9,13.3975,15.288
2021-06-11 00:00:00+00:00,1623369600,98435,57.775,13.9,3.3,4.2330000000000005,4.732
2021-06-12 00:00:00+00:00,1623456000,98435,51.854,13.9,6.4,10.2785,11.248
2021-06-13 00:00:00+00:00,1623542400,98435,47.815,15.3,6.1,9.3565,10.259
2021-06-14 00:00:00+00:00,1623628800,98435,59.376,16.5,9.0,14.081,15.314
2021-06-15 00:00:00+00:00,1623715200,98435,67.701,14.8,11.6,19.006,20.495
2021-06-16 00:00:00+00:00,1623801600,98435,59.587,16.4,3.6,4.651,5.192
2021-06-17 00:00:00+00:00,1623888000,98435,50.21,14.4,2.0,2.024,2.492
2021-06-18 00:00:00+00:00,1623974400,98435,51.049,16.0,0.9,0.5335000000000001,0.725
2021-06-19 00:00:00+00:00,1624060800,98435,60.482,14.8,1.0,0.541,1.398
2021-06-20 00:00:00+00:00,1624147200,98435,71.624,13.7,1.4,1.031,1.822
2021-06-21 00:00:00+00:00,1624233600,98435,60.328,17.2,1.4,1.0055,1.765
2021-07-05 00:00:00+00:00,1625443200,98435,30.403,23.6,3.7,4.895,7.211
2021-07-06 00:00:00+00:00,1625529600,98435,42.37,18.2,3.8,5.6765,6.914
2021-07-11 00:00:00+00:00,1625961600,98435,62.651,16.0,9.8,15.488,16.936
2021-07-12 00:00:00+00:00,1626048000,98435,33.891,25.6,3.2,3.835,4.342
2021-07-13 00:00:00+00:00,1626134400,98435,31.394,25.8,2.6,2.793,3.141
2021-07-14 00:00:00+00:00,1626220800,98435,33.918,25.8,1.9,1.4834999999999998,1.759
2021-07-15 00:00:00+00:00,1626307200,98435,35.27,25.9,2.2,2.108,2.38
2021-07-16 00:00:00+00:00,1626393600,98435,29.32,25.3,0.4,0.0075,0.088
2021-07-17 00:00:00+00:00,1626480000,98435,27.37,23.4,0.5,0.0355,0.106
2021-07-18 00:00:00+00:00,1626566400,98435,28.765,23.6,1.6,1.299,1.514
2021-07-19 00:00:00+00:00,1626652800,98435,26.034,25.1,2.5,2.77,3.13
2021-07-20 00:00:00+00:00,1626739200,98435,24.995,25.4,0.7,0.1245,0.206
2021-07-21 00:00:00+00:00,1626825600,98435,22.732,25.0,2.0,1.9995,2.314
2021-07-22 00:00:00+00:00,1626912000,98435,24.119,25.4,1.9,1.6195,1.881
2021-07-23 00:00:00+00:00,1626998400,98435,30.183,25.1,5.2,7.569,8.096
2021-07-24 00:00:00+00:00,1627084800,98435,29.313,23.3,1.2,0.9295,1.038
2021-07-25 00:00:00+00:00,1627171200,98435,24.633,22.9,0.7,0.2075,0.36
2021-07-26 00:00:00+00:00,1627257600,98435,26.695,25.3,0.8,0.245,0.37
2021-07-27 00:00:00+00:00,1627344000,98435,27.702,25.5,0.8,0.2485,0.43
2021-07-28 00:00:00+00:00,1627430400,98435,26.045,26.0,0.8,0.131,0.26
2021-07-29 00:00:00+00:00,1627516800,98435,22.473,25.3,2.0,1.9975,2.386
2021-07-30 00:00:00+00:00,1627603200,98435,23.883,25.0,4.6,6.366,6.942
2021-07-31 00:00:00+00:00,1627689600,98435,28.085,24.1,3.0,3.441,3.896
2021-08-01 00:00:00+00:00,1627776000,98435,31.355,24.6,1.6,1.05,1.319
2021-08-02 00:00:00+00:00,1627862400,98435,30.376,25.7,1.2,0.6839999999999999,0.997
2021-08-03 00:00:00+00:00,1627948800,98435,26.671,25.5,0.6,0.0525,0.112
2021-08-04 00:00:00+00:00,1628035200,98435,23.164,25.3,0.6,0.0915,0.156
2021-08-05 00:00:00+00:00,1628121600,98435,25.016,25.4,1.1,0.711,0.83
2021-08-06 00:00:00+00:00,1628208000,98435,25.974,25.2,1.7,1.371,1.514
2021-08-07 00:00:00+00:00,1628294400,98435,27.081,23.8,1.8,1.318,1.473
2021-08-08 00:00:00+00:00,1628380800,98435,31.759,23.8,2.2,2.067,2.666
2021-08-09 00:00:00+00:00,1628467200,98435,31.412,25.6,2.2,2.2305,2.699
