datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-01 18:00:00+00:00,1612202400,98435,17.0,20.9,2.8,2.7915,3.258
2021-02-01 19:00:00+00:00,1612206000,98435,17.666,22.4,107.4,177.472,163.464
2021-02-01 20:00:00+00:00,1612209600,98435,18.4,22.7,89.6,146.44549999999998,124.557
2021-02-02 19:00:00+00:00,1612292400,98435,17.241,24.8,135.1,237.039,277.274
2021-02-02 20:00:00+00:00,1612296000,98435,15.5,27.9,64.8,105.517,90.774
2021-02-02 21:00:00+00:00,1612299600,98435,15.0,28.3,4.7,5.9635,7.853
2021-05-04 06:00:00+00:00,1620108000,98435,56.0,21.9,13.9,26.315,29.15
2021-05-27 23:00:00+00:00,1622156400,98435,42.067,15.9,0.7,0.107,0.396
2021-05-28 00:00:00+00:00,1622160000,98435,36.934,17.1,0.7,0.0985,0.444
2021-05-28 01:00:00+00:00,1622163600,98435,29.2,18.1,0.7,0.094,0.366
2021-05-28 02:00:00+00:00,1622167200,98435,27.367,18.3,0.7,0.1025,0.398
2021-05-28 03:00:00+00:00,1622170800,98435,27.666,18.4,0.6,0.0445,0.258
2021-05-28 04:00:00+00:00,1622174400,98435,27.166,17.8,0.7,0.0605,0.342
2021-05-28 05:00:00+00:00,1622178000,98435,28.233,16.8,0.7,0.1125,0.503
2021-05-28 06:00:00+00:00,1622181600,98435,33.033,15.8,1.2,0.523,1.102
2021-05-28 07:00:00+00:00,1622185200,98435,34.666,14.8,1.2,0.5255,1.027
2021-05-28 08:00:00+00:00,1622188800,98435,33.834,14.2,1.8,1.4580000000000002,2.133
2021-05-28 09:00:00+00:00,1622192400,98435,38.233,13.3,1.9,1.5515,2.186
2021-05-28 10:00:00+00:00,1622196000,98435,43.7,11.7,2.4,2.44,3.196
2021-05-28 11:00:00+00:00,1622199600,98435,47.867,11.1,2.6,2.783,3.676
2021-05-28 12:00:00+00:00,1622203200,98435,49.2,10.6,2.4,2.5255,3.258
2021-05-28 13:00:00+00:00,1622206800,98435,48.367,10.6,2.6,2.9265,3.797
2021-05-28 14:00:00+00:00,1622210400,98435,46.633,10.5,1.8,1.5265,2.228
