Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
1141,2021-03-31,1,12 am - 1 am,16.291717,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-03-31,1,12 am - 1 am,5.397956,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-04-30,1,12 am - 1 am,19.785525,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-04-30,1,12 am - 1 am,8.878881,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-05-31,1,12 am - 1 am,15.458876,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-05-31,1,12 am - 1 am,7.547926,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-06-30,1,12 am - 1 am,13.539796,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-06-30,1,12 am - 1 am,6.989918,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-07-31,1,12 am - 1 am,13.169324,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-07-31,1,12 am - 1 am,6.701458,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-08-31,1,12 am - 1 am,13.866065,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-08-31,1,12 am - 1 am,7.369244,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-09-30,1,12 am - 1 am,13.345064,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-09-30,1,12 am - 1 am,4.892938,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-10-31,1,12 am - 1 am,16.766713,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-10-31,1,12 am - 1 am,5.951992,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-11-30,1,12 am - 1 am,15.012732,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-11-30,1,12 am - 1 am,4.088763,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-12-31,1,12 am - 1 am,15.745212,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2021-12-31,1,12 am - 1 am,4.717113,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-01-31,1,12 am - 1 am,16.57074,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-01-31,1,12 am - 1 am,4.41111,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-02-28,1,12 am - 1 am,16.839451,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-02-28,1,12 am - 1 am,4.874818,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-03-31,1,12 am - 1 am,13.346978,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-03-31,1,12 am - 1 am,3.618702,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-04-30,1,12 am - 1 am,12.189629,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-04-30,1,12 am - 1 am,4.348669,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-05-31,1,12 am - 1 am,12.600241,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-05-31,1,12 am - 1 am,4.963231,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-06-30,1,12 am - 1 am,11.875124,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-06-30,1,12 am - 1 am,5.54027,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-07-31,1,12 am - 1 am,11.028738,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-07-31,1,12 am - 1 am,5.494253,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-08-31,1,12 am - 1 am,11.374953,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-08-31,1,12 am - 1 am,4.97336,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-09-30,1,12 am - 1 am,12.805889,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-09-30,1,12 am - 1 am,4.972046,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-10-31,1,12 am - 1 am,11.790671,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-10-31,1,12 am - 1 am,3.712278,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-11-30,1,12 am - 1 am,13.572004,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-11-30,1,12 am - 1 am,4.236729,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-12-31,1,12 am - 1 am,15.601682,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2022-12-31,1,12 am - 1 am,5.188459,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-01-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-01-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-02-28,1,12 am - 1 am,18.677334,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-02-28,1,12 am - 1 am,5.356736,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-03-31,1,12 am - 1 am,17.887858,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-03-31,1,12 am - 1 am,5.475033,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-04-30,1,12 am - 1 am,13.659978,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-04-30,1,12 am - 1 am,4.529935,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-05-31,1,12 am - 1 am,15.210949,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-05-31,1,12 am - 1 am,7.075934,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-06-30,1,12 am - 1 am,14.296014,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-06-30,1,12 am - 1 am,7.375203,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-07-31,1,12 am - 1 am,15.208567,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-07-31,1,12 am - 1 am,7.925611,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-08-31,1,12 am - 1 am,14.774175,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-08-31,1,12 am - 1 am,7.403478,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-09-30,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-09-30,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-10-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-10-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-11-30,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1141,2023-11-30,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
