datetime_utc,timestamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-28 13:00:00+00:00,1614517200,2308,208466,43.0,28.9,4.3,6.311999999999999,6.712
2021-02-28 14:00:00+00:00,1614520800,2308,208466,43.0,28.9,4.0,5.892,6.293
2021-02-28 15:00:00+00:00,1614524400,2308,208466,43.0,28.9,3.8,5.537,5.866
2021-02-28 16:00:00+00:00,1614528000,2308,208466,43.7,28.9,3.7,5.3705,5.694
2021-02-28 17:00:00+00:00,1614531600,2308,208466,44.0,28.9,3.6,5.2725,5.584
2021-02-28 18:00:00+00:00,1614535200,2308,208466,44.0,28.4,3.5,5.0955,5.41
2021-02-28 19:00:00+00:00,1614538800,2308,208466,44.067,28.6,3.4,5.0065,5.346
2021-02-28 20:00:00+00:00,1614542400,2308,208466,41.666,27.1,2.8,4.011,4.237
2021-02-28 21:00:00+00:00,1614546000,2308,208466,43.333,25.8,2.6,3.68,3.91
2021-02-28 22:00:00+00:00,1614549600,2308,208466,45.341,25.7,3.8,5.5585,5.868
2021-02-28 23:00:00+00:00,1614553200,2308,208466,44.9,26.4,5.7,8.374500000000001,8.832
2021-03-01 00:00:00+00:00,1614556800,2308,208466,41.867,26.6,7.2,10.5185,11.096
2021-03-01 01:00:00+00:00,1614560400,2308,208466,41.034,26.7,8.0,11.557,12.36
2021-03-01 02:00:00+00:00,1614564000,2308,208466,39.067,26.4,7.4,10.7315,11.494
2021-03-01 03:00:00+00:00,1614567600,2308,208466,39.034,27.1,6.4,9.295000000000002,9.894
2021-03-01 04:00:00+00:00,1614571200,2308,208466,36.067,27.2,7.0,10.5135,11.361
2021-03-01 05:00:00+00:00,1614574800,2308,208466,36.5,26.7,6.7,10.244,11.118
2021-03-01 06:00:00+00:00,1614578400,2308,208466,37.067,26.7,5.9,9.074000000000002,9.612
2021-03-01 07:00:00+00:00,1614582000,2308,208466,38.966,27.6,7.0,10.924,11.451
2021-03-01 08:00:00+00:00,1614585600,2308,208466,42.0,28.7,8.3,12.886,13.509
2021-03-01 09:00:00+00:00,1614589200,2308,208466,43.267,29.4,9.1,14.258,14.966
2021-03-01 10:00:00+00:00,1614592800,2308,208466,43.767,29.4,9.4,14.724,15.441
2021-03-01 11:00:00+00:00,1614596400,2308,208466,43.133,29.4,8.8,13.87,14.608
2021-03-01 12:00:00+00:00,1614600000,2308,208466,43.0,29.4,8.4,13.104500000000002,13.8
2021-03-01 13:00:00+00:00,1614603600,2308,208466,43.0,29.4,8.5,13.573,14.6
2021-03-01 14:00:00+00:00,1614607200,2308,208466,43.0,29.4,9.2,14.5455,15.549
2021-03-01 15:00:00+00:00,1614610800,2308,208466,43.0,28.9,9.2,14.4395,15.556
2021-03-01 16:00:00+00:00,1614614400,2308,208466,43.0,28.9,9.1,14.3235,15.334
2021-03-01 17:00:00+00:00,1614618000,2308,208466,43.0,28.9,9.0,14.2945,15.235
2021-03-01 18:00:00+00:00,1614621600,2308,208466,43.0,28.7,9.3,14.6115,15.418
2021-03-01 19:00:00+00:00,1614625200,2308,208466,43.034,28.9,9.4,14.976,15.914
2021-03-01 20:00:00+00:00,1614628800,2308,208466,42.9,27.1,7.6,12.193,12.718
