datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2021-02-28 00:00:00+00:00,1614470400,92367,43.58,29.0,4.7,6.978,7.24
2021-03-01 00:00:00+00:00,1614556800,92367,42.651,28.4,8.3,12.8785,13.383
2021-03-02 00:00:00+00:00,1614643200,92367,37.527,27.9,2.0,2.5620000000000003,2.886
2021-03-03 00:00:00+00:00,1614729600,92367,37.793,27.7,2.2,3.0170000000000003,3.217
2021-03-04 00:00:00+00:00,1614816000,92367,39.178,27.2,3.8,5.6365,5.849
2021-03-05 00:00:00+00:00,1614902400,92367,35.57,28.2,1.8,2.1865,2.524
2021-03-06 00:00:00+00:00,1614988800,92367,33.774,29.1,1.8,2.274,2.488
2021-03-07 00:00:00+00:00,1615075200,92367,37.085,29.6,2.0,2.6185,2.858
2021-03-08 00:00:00+00:00,1615161600,92367,42.167,28.0,3.1,4.566000000000001,4.746
2021-03-09 00:00:00+00:00,1615248000,92367,41.873,28.2,3.3,4.915,5.17
2021-03-10 00:00:00+00:00,1615334400,92367,42.977,27.8,3.3,4.718500000000001,4.938
2021-03-11 00:00:00+00:00,1615420800,92367,42.868,27.8,2.4,3.2265,3.422
2021-03-12 00:00:00+00:00,1615507200,92367,45.478,27.8,4.7,7.0045,7.241
2021-03-13 00:00:00+00:00,1615593600,92367,43.724,29.7,3.6,5.234500000000001,5.432
2021-03-14 00:00:00+00:00,1615680000,92367,43.074,27.5,0.9,0.6439999999999999,0.811
2021-03-15 00:00:00+00:00,1615766400,92367,38.587,27.1,1.1,0.984,1.112
2021-03-16 00:00:00+00:00,1615852800,92367,43.451,27.0,1.3,1.481,1.624
2021-03-17 00:00:00+00:00,1615939200,92367,45.368,26.9,0.8,0.4325,0.59
2021-03-18 00:00:00+00:00,1616025600,92367,47.661,27.8,1.2,1.097,1.332
2021-03-19 00:00:00+00:00,1616112000,92367,48.053,27.6,1.2,1.2085,1.502
2021-03-20 00:00:00+00:00,1616198400,92367,50.733,27.8,2.2,2.8065,3.349
2021-03-21 00:00:00+00:00,1616284800,92367,50.25,27.6,1.5,1.6909999999999998,2.01
2021-03-22 00:00:00+00:00,1616371200,92367,49.149,27.3,1.1,0.973,1.122
2021-03-23 00:00:00+00:00,1616457600,92367,49.608,27.7,2.3,2.974,3.099
2021-03-24 00:00:00+00:00,1616544000,92367,43.145,27.8,2.1,2.8035,2.904
2021-03-25 00:00:00+00:00,1616630400,92367,41.41,27.3,1.2,1.1185,1.216
2021-03-26 00:00:00+00:00,1616716800,92367,41.788,27.8,2.1,2.748,2.934
2021-03-27 00:00:00+00:00,1616803200,92367,40.453,28.8,3.2,4.853,5.175
2021-03-28 00:00:00+00:00,1616889600,92367,44.751,28.8,2.0,2.6665,2.864
2021-03-29 00:00:00+00:00,1616976000,92367,40.477,27.7,1.9,2.372,2.604
2021-03-30 00:00:00+00:00,1617062400,92367,37.742,27.1,1.9,2.334,2.548
2021-03-31 00:00:00+00:00,1617148800,92367,38.399,26.8,1.8,2.1425,2.302
2021-04-01 00:00:00+00:00,1617235200,92367,42.11,27.3,1.8,2.2115,2.362
2021-04-02 00:00:00+00:00,1617321600,92367,43.972,26.8,3.5,5.236,5.4
2021-04-03 00:00:00+00:00,1617408000,92367,43.425,28.3,3.8,5.59,5.728
2021-04-04 00:00:00+00:00,1617494400,92367,42.578,28.8,4.5,7.000500000000001,7.16
2021-04-05 00:00:00+00:00,1617580800,92367,44.501,27.2,6.0,9.4595,9.676
2021-04-06 00:00:00+00:00,1617667200,92367,43.851,28.1,1.7,2.0365,2.16
2021-04-07 00:00:00+00:00,1617753600,92367,48.069,27.2,1.2,1.1755,1.274
2021-04-08 00:00:00+00:00,1617840000,92367,46.029,27.1,1.2,1.117,1.212
2021-04-09 00:00:00+00:00,1617926400,92367,44.437,27.2,3.4,4.9295,5.249
2021-04-10 00:00:00+00:00,1618012800,92367,36.064,27.2,2.4,3.364,3.554
2021-04-11 00:00:00+00:00,1618099200,92367,27.44,26.1,0.6,0.177,0.271
