datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2023-07-21 00:00:00+00:00,1689897600,182853,34.0,27.2,0.7,0.19,0.21
2023-07-24 00:00:00+00:00,1690156800,182853,31.356,28.4,2.0,2.8245,3.221
2023-07-25 00:00:00+00:00,1690243200,182853,32.6,25.9,2.0,2.5380000000000003,3.21
2023-07-26 00:00:00+00:00,1690329600,182853,50.812,12.4,4.8,9.223,10.422
2023-07-27 00:00:00+00:00,1690416000,182853,48.667,14.3,3.3,5.807,6.506
2023-07-28 00:00:00+00:00,1690502400,182853,53.738,15.2,3.0,4.942,5.555
2023-07-29 00:00:00+00:00,1690588800,182853,53.242,16.2,3.2,5.175000000000001,5.773
2023-07-30 00:00:00+00:00,1690675200,182853,54.338,14.6,4.5,8.283999999999999,9.006
2023-07-31 00:00:00+00:00,1690761600,182853,55.99,12.4,1.2,1.4805,2.15
2023-08-01 00:00:00+00:00,1690848000,182853,56.868,11.8,2.5,4.162,5.15
2023-08-02 00:00:00+00:00,1690934400,182853,55.811,13.1,3.8,6.9205000000000005,8.48
2023-08-03 00:00:00+00:00,1691020800,182853,48.559,15.5,4.9,8.802,9.83
2023-08-04 00:00:00+00:00,1691107200,182853,44.229,15.7,2.8,4.352,4.818
2023-08-05 00:00:00+00:00,1691193600,182853,59.546,13.0,7.1,13.9415,14.75
2023-08-06 00:00:00+00:00,1691280000,182853,56.414,13.1,5.7,10.657,11.499
2023-08-07 00:00:00+00:00,1691366400,182853,54.136,12.9,5.1,9.2285,9.86
2023-08-08 00:00:00+00:00,1691452800,182853,50.767,13.2,5.0,9.1285,9.952
2023-08-09 00:00:00+00:00,1691539200,182853,46.142,13.7,3.2,5.458,5.992
2023-08-10 00:00:00+00:00,1691625600,182853,52.543,11.0,2.9,5.0825,6.429
2023-08-11 00:00:00+00:00,1691712000,182853,47.451,12.6,5.0,9.79,11.326
2023-08-12 00:00:00+00:00,1691798400,182853,48.524,14.1,6.0,11.5005,13.242
2023-08-13 00:00:00+00:00,1691884800,182853,59.908,14.1,4.0,6.929,7.584
2023-08-14 00:00:00+00:00,1691971200,182853,61.62,12.7,2.9,4.8515,5.533
2023-08-15 00:00:00+00:00,1692057600,182853,54.538,10.7,3.7,7.048,7.968
2023-08-16 00:00:00+00:00,1692144000,182853,43.596,12.1,3.7,6.78,7.317
2023-08-17 00:00:00+00:00,1692230400,182853,51.333,14.1,2.1,3.218,3.65
2023-08-18 00:00:00+00:00,1692316800,182853,66.806,7.5,1.3,1.7000000000000002,2.521
2023-08-19 00:00:00+00:00,1692403200,182853,66.572,10.6,2.3,3.641,5.568
2023-08-20 00:00:00+00:00,1692489600,182853,56.663,13.1,7.7,15.043,15.828
2023-08-21 00:00:00+00:00,1692576000,182853,50.2,15.4,4.0,6.804,7.564
2023-08-22 00:00:00+00:00,1692662400,182853,54.154,13.9,1.8,2.553,2.92
2023-08-23 00:00:00+00:00,1692748800,182853,61.083,10.5,4.1,7.4035,7.881
2023-08-24 00:00:00+00:00,1692835200,182853,50.028,14.5,6.3,11.728,12.296
2023-08-25 00:00:00+00:00,1692921600,182853,39.081,14.6,2.4,4.0235,4.39
2023-08-26 00:00:00+00:00,1693008000,182853,46.362,15.1,7.9,15.4235,16.548
2023-08-27 00:00:00+00:00,1693094400,182853,43.842,16.1,4.4,7.685,8.5
2023-08-28 00:00:00+00:00,1693180800,182853,50.536,14.0,3.1,5.065,5.618
2023-08-29 00:00:00+00:00,1693267200,182853,43.725,16.8,5.6,9.929,10.854
2023-08-30 00:00:00+00:00,1693353600,182853,58.551,14.0,4.9,8.562999999999999,9.677
2023-08-31 00:00:00+00:00,1693440000,182853,54.848,12.9,1.6,2.112,2.382
2023-09-01 00:00:00+00:00,1693526400,182853,50.953,12.0,2.4,3.915,4.702
2023-09-02 00:00:00+00:00,1693612800,182853,44.337,13.3,3.0,5.5745000000000005,5.976
2023-09-03 00:00:00+00:00,1693699200,182853,44.738,14.9,2.8,4.593999999999999,5.152
2023-09-04 00:00:00+00:00,1693785600,182853,39.541,18.4,2.5,3.6395,4.18
2023-09-05 00:00:00+00:00,1693872000,182853,45.058,12.9,3.1,5.5625,6.732
2023-09-06 00:00:00+00:00,1693958400,182853,33.303,16.0,2.4,3.6515,4.304
2023-09-07 00:00:00+00:00,1694044800,182853,51.096,17.5,3.9,6.3405000000000005,6.939
2023-09-08 00:00:00+00:00,1694131200,182853,57.792,9.2,1.5,2.037,2.926
2023-09-09 00:00:00+00:00,1694217600,182853,48.741,9.0,1.8,2.703,3.605
2023-09-10 00:00:00+00:00,1694304000,182853,50.108,11.3,3.6,6.597,7.276
2023-09-11 00:00:00+00:00,1694390400,182853,42.829,14.9,3.5,5.818,6.421
2023-09-12 00:00:00+00:00,1694476800,182853,48.617,15.7,3.9,6.6315,7.306
2023-09-13 00:00:00+00:00,1694563200,182853,46.546,17.3,2.8,4.5135000000000005,5.425
2023-09-14 00:00:00+00:00,1694649600,182853,34.041,20.3,2.8,4.243499999999999,4.594
2023-09-15 00:00:00+00:00,1694736000,182853,32.096,21.2,4.0,6.342499999999999,6.779
2023-09-16 00:00:00+00:00,1694822400,182853,27.445,22.2,3.3,5.072,5.632
2023-09-17 00:00:00+00:00,1694908800,182853,25.338,22.3,2.6,3.519,3.907
2023-09-18 00:00:00+00:00,1694995200,182853,23.35,23.7,6.5,10.1965,10.833
2023-09-19 00:00:00+00:00,1695081600,182853,26.259,22.0,4.3,6.676,7.34
2023-09-20 00:00:00+00:00,1695168000,182853,38.065,20.2,3.4,5.177,6.044
2023-09-21 00:00:00+00:00,1695254400,182853,46.131,13.6,0.9,0.8455,1.318
2023-09-22 00:00:00+00:00,1695340800,182853,47.311,12.9,1.3,1.6935,2.418
2023-09-23 00:00:00+00:00,1695427200,182853,47.549,14.4,2.4,3.7425,4.233
2023-09-24 00:00:00+00:00,1695513600,182853,38.515,18.0,3.5,5.484999999999999,6.123
2023-09-25 00:00:00+00:00,1695600000,182853,35.225,19.9,2.0,2.764,3.33
2023-09-26 00:00:00+00:00,1695686400,182853,44.404,19.5,3.8,6.068,6.644
2023-09-27 00:00:00+00:00,1695772800,182853,43.388,18.6,5.7,9.523,10.281
2023-09-28 00:00:00+00:00,1695859200,182853,43.858,20.0,4.4,6.9945,7.584
2023-09-29 00:00:00+00:00,1695945600,182853,31.587,20.2,4.7,7.684,8.186
2023-09-30 00:00:00+00:00,1696032000,182853,28.975,23.9,3.5,5.265499999999999,5.642
2023-10-01 00:00:00+00:00,1696118400,182853,23.707,24.8,2.3,3.0485,3.566
2023-10-02 00:00:00+00:00,1696204800,182853,27.694,26.2,2.6,3.7755,4.214
2023-10-03 00:00:00+00:00,1696291200,182853,30.449,23.3,2.1,2.8245,3.434
2023-10-04 00:00:00+00:00,1696377600,182853,67.81,11.8,1.2,1.4415,1.856
2023-10-05 00:00:00+00:00,1696464000,182853,46.003,12.5,1.7,2.537,3.086
2023-10-06 00:00:00+00:00,1696550400,182853,53.665,14.0,1.6,2.119,2.756
2023-10-07 00:00:00+00:00,1696636800,182853,47.397,14.5,1.6,2.1135,2.609
2023-10-08 00:00:00+00:00,1696723200,182853,39.088,17.6,1.0,1.0745,1.362
2023-10-09 00:00:00+00:00,1696809600,182853,34.96,19.5,1.5,1.9,2.207
2023-10-10 00:00:00+00:00,1696896000,182853,46.486,18.8,5.7,9.655,10.471
2023-10-11 00:00:00+00:00,1696982400,182853,30.042,21.3,2.5,3.6395,3.989
2023-10-12 00:00:00+00:00,1697068800,182853,50.226,16.3,1.6,1.991,2.612
2023-10-13 00:00:00+00:00,1697155200,182853,47.665,16.2,1.1,1.204,1.864
2023-10-14 00:00:00+00:00,1697241600,182853,44.169,18.0,1.5,1.8405,2.28
2023-10-15 00:00:00+00:00,1697328000,182853,38.899,18.9,1.7,2.2815000000000003,2.813
2023-10-16 00:00:00+00:00,1697414400,182853,46.721,12.1,0.8,0.734,1.221
2023-10-17 00:00:00+00:00,1697500800,182853,48.602,14.3,0.4,0.144,0.381
2023-10-18 00:00:00+00:00,1697587200,182853,49.947,16.4,2.2,3.0555000000000003,3.462
2023-10-19 00:00:00+00:00,1697673600,182853,38.085,21.4,3.8,5.4815000000000005,6.02
2023-10-20 00:00:00+00:00,1697760000,182853,32.688,23.4,5.3,8.724499999999999,9.295
2023-10-21 00:00:00+00:00,1697846400,182853,33.639,23.7,3.7,5.7315000000000005,6.78
2023-10-22 00:00:00+00:00,1697932800,182853,38.571,17.6,0.5,0.2085,0.676
2023-10-23 00:00:00+00:00,1698019200,182853,27.885,19.3,0.7,0.4615,0.89
2023-10-24 00:00:00+00:00,1698105600,182853,23.894,23.7,0.7,0.394,0.97
2023-10-25 00:00:00+00:00,1698192000,182853,29.781,15.4,0.6,0.403,1.062
2023-10-26 00:00:00+00:00,1698278400,182853,51.779,11.8,0.9,0.87,1.37
2023-10-27 00:00:00+00:00,1698364800,182853,49.973,13.1,0.3,0.033,0.227
2023-10-28 00:00:00+00:00,1698451200,182853,32.52,18.8,1.6,2.388,2.598
2023-10-29 00:00:00+00:00,1698537600,182853,25.176,22.1,1.6,1.9795,2.354
2023-10-30 00:00:00+00:00,1698624000,182853,24.995,23.3,2.7,3.9325,4.629
2023-10-31 00:00:00+00:00,1698710400,182853,29.473,17.2,0.7,0.5800000000000001,1.197
2023-11-01 00:00:00+00:00,1698796800,182853,39.307,19.2,3.0,4.821,5.656
2023-11-02 00:00:00+00:00,1698883200,182853,42.805,20.8,5.2,8.350000000000001,9.516
