datetime_utc,timestamp,group_id,member_id,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2023-07-21 06:00:00+00:00,1689919200,2329,208964,34.0,27.2,0.7,0.19,0.21
2023-07-24 00:00:00+00:00,1690156800,2329,208964,42.456,23.5,2.7,4.3215,4.766
2023-07-24 01:00:00+00:00,1690160400,2329,208964,29.7,29.1,2.2,3.1785,3.518
2023-07-24 02:00:00+00:00,1690164000,2329,208964,27.1,30.1,1.5,1.8825,2.258
2023-07-24 03:00:00+00:00,1690167600,2329,208964,26.166,30.8,1.6,1.9165,2.342
2023-07-25 00:00:00+00:00,1690243200,2329,208964,32.6,25.9,2.0,2.5380000000000003,3.21
2023-07-26 01:00:00+00:00,1690333200,2329,208964,43.034,17.8,2.6,4.7435,5.378
2023-07-26 02:00:00+00:00,1690336800,2329,208964,30.334,22.1,2.2,3.1395,3.484
2023-07-26 03:00:00+00:00,1690340400,2329,208964,27.834,22.6,1.7,2.237,2.658
2023-07-26 04:00:00+00:00,1690344000,2329,208964,30.934,21.5,2.5,3.698,4.012
2023-07-26 05:00:00+00:00,1690347600,2329,208964,32.067,20.2,2.7,4.0975,4.516
2023-07-26 06:00:00+00:00,1690351200,2329,208964,39.8,16.6,4.1,6.7265,7.34
2023-07-26 07:00:00+00:00,1690354800,2329,208964,47.133,13.3,8.4,16.546999999999997,17.752
2023-07-26 08:00:00+00:00,1690358400,2329,208964,52.5,11.2,9.5,19.373,21.612
2023-07-26 09:00:00+00:00,1690362000,2329,208964,52.933,11.0,5.5,10.6485,11.674
2023-07-26 10:00:00+00:00,1690365600,2329,208964,57.067,10.0,5.0,9.648,10.362
2023-07-26 11:00:00+00:00,1690369200,2329,208964,58.534,9.3,4.8,9.4955,10.054
2023-07-26 12:00:00+00:00,1690372800,2329,208964,60.1,8.7,11.3,25.0575,27.428
2023-07-26 13:00:00+00:00,1690376400,2329,208964,62.5,7.8,10.0,22.9365,28.266
2023-07-26 14:00:00+00:00,1690380000,2329,208964,61.4,7.8,4.2,8.129999999999999,9.182
2023-07-26 15:00:00+00:00,1690383600,2329,208964,62.034,7.1,4.1,8.0925,8.886
2023-07-26 16:00:00+00:00,1690387200,2329,208964,63.3,6.8,3.5,6.5565,7.095
2023-07-26 17:00:00+00:00,1690390800,2329,208964,64.066,6.7,4.8,9.6835,10.966
2023-07-26 18:00:00+00:00,1690394400,2329,208964,59.7,8.0,4.1,8.0105,9.056
2023-07-26 19:00:00+00:00,1690398000,2329,208964,56.733,8.8,2.6,4.6835,5.06
2023-07-26 20:00:00+00:00,1690401600,2329,208964,55.867,8.4,3.0,5.566,6.019
2023-07-26 21:00:00+00:00,1690405200,2329,208964,59.1,8.2,4.4,8.901,11.465
2023-07-26 22:00:00+00:00,1690408800,2329,208964,47.633,14.0,4.4,7.9405,10.658
2023-07-26 23:00:00+00:00,1690412400,2329,208964,44.066,16.1,3.9,6.2165,6.768
2023-07-27 00:00:00+00:00,1690416000,2329,208964,41.367,17.7,3.4,5.374499999999999,5.726
2023-07-27 01:00:00+00:00,1690419600,2329,208964,33.5,20.2,1.4,1.7275,2.008
2023-07-27 02:00:00+00:00,1690423200,2329,208964,30.534,21.6,1.3,1.444,1.737
2023-07-27 03:00:00+00:00,1690426800,2329,208964,27.7,23.1,1.3,1.439,1.66
2023-07-27 04:00:00+00:00,1690430400,2329,208964,30.167,21.8,1.8,2.4325,2.785
2023-07-27 05:00:00+00:00,1690434000,2329,208964,31.767,20.8,1.9,2.7195,3.012
2023-07-27 06:00:00+00:00,1690437600,2329,208964,38.233,17.6,1.7,2.4045,2.746
2023-07-27 07:00:00+00:00,1690441200,2329,208964,47.367,14.3,3.4,5.5295000000000005,6.292
2023-07-27 08:00:00+00:00,1690444800,2329,208964,51.834,12.6,4.7,8.4525,9.507
2023-07-27 09:00:00+00:00,1690448400,2329,208964,53.6,11.8,4.9,9.089,10.819
2023-07-27 10:00:00+00:00,1690452000,2329,208964,55.967,11.1,5.5,10.6945,12.432
2023-07-27 11:00:00+00:00,1690455600,2329,208964,56.733,11.2,3.2,5.5295000000000005,6.107
2023-07-27 12:00:00+00:00,1690459200,2329,208964,57.433,10.8,5.1,10.024,11.028
2023-07-27 13:00:00+00:00,1690462800,2329,208964,59.834,9.8,14.1,30.787,33.474
2023-07-27 14:00:00+00:00,1690466400,2329,208964,61.5,10.0,5.0,9.595,10.704
2023-07-27 15:00:00+00:00,1690470000,2329,208964,59.767,10.7,4.0,7.2605,7.91
2023-07-27 16:00:00+00:00,1690473600,2329,208964,60.567,10.4,3.2,5.564,6.266
2023-07-27 17:00:00+00:00,1690477200,2329,208964,56.5,11.6,3.5,6.409,6.988
2023-07-27 18:00:00+00:00,1690480800,2329,208964,56.4,11.2,2.1,3.1175,3.57
2023-07-27 19:00:00+00:00,1690484400,2329,208964,54.0,12.0,2.4,3.743,4.174
2023-07-27 20:00:00+00:00,1690488000,2329,208964,53.367,12.2,1.2,1.278,1.564
2023-07-27 21:00:00+00:00,1690491600,2329,208964,52.767,12.2,1.2,1.3855,1.627
2023-07-27 22:00:00+00:00,1690495200,2329,208964,51.233,12.8,1.5,1.945,2.239
2023-07-27 23:00:00+00:00,1690498800,2329,208964,45.867,14.6,1.2,1.424,1.772
2023-07-28 00:00:00+00:00,1690502400,2329,208964,43.267,16.5,1.3,1.5125000000000002,1.888
2023-07-28 01:00:00+00:00,1690506000,2329,208964,41.834,17.5,1.5,2.005,2.399
2023-07-28 02:00:00+00:00,1690509600,2329,208964,40.667,18.1,1.8,2.6295,3.054
2023-07-28 03:00:00+00:00,1690513200,2329,208964,41.1,18.3,2.2,3.338,3.828
2023-07-28 04:00:00+00:00,1690516800,2329,208964,41.1,18.6,1.9,2.7575,3.204
2023-07-28 05:00:00+00:00,1690520400,2329,208964,45.5,17.2,1.6,2.256,2.694
2023-07-28 06:00:00+00:00,1690524000,2329,208964,50.5,16.4,4.1,6.988,7.645
2023-07-28 07:00:00+00:00,1690527600,2329,208964,57.034,15.2,1.9,2.7925,3.165
2023-07-28 08:00:00+00:00,1690531200,2329,208964,58.433,14.6,2.0,2.8315,3.254
2023-07-28 09:00:00+00:00,1690534800,2329,208964,59.1,14.1,2.7,4.3255,4.797
