Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
1650,2019-04-30,1,12 am - 1 am,37.581865,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-04-30,1,12 am - 1 am,9.817684,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-05-31,1,12 am - 1 am,22.676816,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-05-31,1,12 am - 1 am,11.303517,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-06-30,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-06-30,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-07-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-07-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-08-31,1,12 am - 1 am,14.738616,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-08-31,1,12 am - 1 am,8.057443,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-09-30,1,12 am - 1 am,25.031557,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-09-30,1,12 am - 1 am,7.044438,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-10-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-10-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-11-30,1,12 am - 1 am,43.452227,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-11-30,1,12 am - 1 am,7.811436,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-12-31,1,12 am - 1 am,74.919785,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2019-12-31,1,12 am - 1 am,38.633372,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-01-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-01-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-02-29,1,12 am - 1 am,38.09834,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-02-29,1,12 am - 1 am,7.352343,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-03-31,1,12 am - 1 am,25.357082,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-03-31,1,12 am - 1 am,4.599804,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-04-30,1,12 am - 1 am,20.196954,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-04-30,1,12 am - 1 am,7.268577,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-05-31,1,12 am - 1 am,18.736953,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-05-31,1,12 am - 1 am,10.739657,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-06-30,1,12 am - 1 am,13.796875,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-06-30,1,12 am - 1 am,12.150209,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-07-31,1,12 am - 1 am,11.440961,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-07-31,1,12 am - 1 am,8.997673,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-08-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-08-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-09-30,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-09-30,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-10-31,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-10-31,1,12 am - 1 am,,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-11-30,1,12 am - 1 am,20.92151,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-11-30,1,12 am - 1 am,6.082142,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-12-31,1,12 am - 1 am,20.131238,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2020-12-31,1,12 am - 1 am,5.067114,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-01-31,1,12 am - 1 am,23.557539,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-01-31,1,12 am - 1 am,4.909947,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-02-28,1,12 am - 1 am,17.644305,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-02-28,1,12 am - 1 am,5.314284,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-03-31,1,12 am - 1 am,18.97014,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-03-31,1,12 am - 1 am,4.470413,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-04-30,1,12 am - 1 am,35.175449,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-04-30,1,12 am - 1 am,10.884266,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-05-31,1,12 am - 1 am,20.492357,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-05-31,1,12 am - 1 am,10.235846,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-06-30,1,12 am - 1 am,10.255841,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-06-30,1,12 am - 1 am,7.122485,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-07-31,1,12 am - 1 am,10.613757,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-07-31,1,12 am - 1 am,6.57339,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-08-31,1,12 am - 1 am,12.267106,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-08-31,1,12 am - 1 am,7.037666,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-09-30,1,12 am - 1 am,14.090141,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-09-30,1,12 am - 1 am,5.845691,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-10-31,1,12 am - 1 am,14.995485,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-10-31,1,12 am - 1 am,5.226087,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-11-30,1,12 am - 1 am,12.257239,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-11-30,1,12 am - 1 am,4.396361,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-12-31,1,12 am - 1 am,21.448191,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2021-12-31,1,12 am - 1 am,4.917484,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2022-01-31,1,12 am - 1 am,13.496715,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2022-01-31,1,12 am - 1 am,3.908839,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2022-02-28,1,12 am - 1 am,18.585899,,,PM10,PM10,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
1650,2022-02-28,1,12 am - 1 am,4.430155,,,PM2.5,PM2.5,µg/m³,microgram per cubic meter,Averages,Monthly,Hourly average
