datetime_utc,timestamp,sensor_index,humidity,temperature,pm2.5_alt,pm2.5_cf_1,pm10.0_atm
2019-04-02 00:00:00+00:00,1554163200,29945,25.018,22.3,11.3,19.5635,25.512
2019-04-04 00:00:00+00:00,1554336000,29945,26.438,25.6,16.3,28.3765,36.434
2019-05-10 00:00:00+00:00,1557446400,29945,27.989,25.7,1.4,1.827,2.451
2019-05-11 00:00:00+00:00,1557532800,29945,26.764,25.8,1.5,1.867,2.176
2019-05-12 00:00:00+00:00,1557619200,29945,29.468,25.9,3.7,5.8225,6.536
2019-05-13 00:00:00+00:00,1557705600,29945,34.781,27.0,2.8,4.147,4.694
2019-05-14 00:00:00+00:00,1557792000,29945,36.628,25.5,3.1,4.783,5.307
2019-05-30 00:00:00+00:00,1559174400,29945,35.654,15.4,2.4,3.6895,4.424
2019-05-31 00:00:00+00:00,1559260800,29945,24.16,26.0,1.4,1.5465,1.95
2019-06-01 00:00:00+00:00,1559347200,29945,29.716,25.7,3.8,5.911,6.685
2019-06-02 00:00:00+00:00,1559433600,29945,32.875,26.1,9.7,17.0445,18.658
2019-06-03 00:00:00+00:00,1559520000,29945,29.128,26.8,7.8,13.2935,15.92
2019-06-04 00:00:00+00:00,1559606400,29945,57.091,7.9,2.9,5.0375,5.906
2019-06-05 00:00:00+00:00,1559692800,29945,56.664,7.7,19.0,41.1805,39.656
2019-06-06 00:00:00+00:00,1559779200,29945,51.707,10.4,11.2,22.8925,25.394
2019-06-07 00:00:00+00:00,1559865600,29945,57.104,13.9,4.9,8.1965,9.543
2019-06-08 00:00:00+00:00,1559952000,29945,62.549,11.5,24.0,47.35,43.076
2019-06-09 00:00:00+00:00,1560038400,29945,64.279,13.7,25.1,46.6465,38.921
2019-06-10 00:00:00+00:00,1560124800,29945,70.112,13.7,25.3,45.756,41.034
2019-06-11 00:00:00+00:00,1560211200,29945,62.744,13.4,16.9,32.1325,32.518
2019-06-12 00:00:00+00:00,1560297600,29945,54.807,15.1,7.2,12.384,13.644
2019-06-13 00:00:00+00:00,1560384000,29945,71.294,9.9,5.0,8.739,10.116
2019-06-14 00:00:00+00:00,1560470400,29945,63.157,8.8,13.2,27.201,28.632
2019-06-15 00:00:00+00:00,1560556800,29945,64.071,9.2,11.7,23.3065,25.083
2019-06-16 00:00:00+00:00,1560643200,29945,66.418,10.7,7.7,14.136,14.89
2019-06-17 00:00:00+00:00,1560729600,29945,65.015,9.4,13.6,26.998,28.883
2019-06-18 00:00:00+00:00,1560816000,29945,63.372,8.6,12.9,25.5565,25.582
2019-06-19 00:00:00+00:00,1560902400,29945,56.532,6.2,9.4,19.7765,22.674
2019-06-20 00:00:00+00:00,1560988800,29945,57.775,5.9,24.3,53.1895,47.477
2019-06-21 00:00:00+00:00,1561075200,29945,59.579,5.4,9.5,19.432,22.092
2019-06-22 00:00:00+00:00,1561161600,29945,57.05,7.0,8.6,17.9775,20.211
2019-06-23 00:00:00+00:00,1561248000,29945,58.729,9.0,2.5,4.239,4.857
2019-06-24 00:00:00+00:00,1561334400,29945,61.468,10.3,2.0,3.0700000000000003,3.65
2019-06-25 00:00:00+00:00,1561420800,29945,63.119,11.3,7.4,13.242,12.908
2019-06-26 00:00:00+00:00,1561507200,29945,60.667,11.8,3.7,6.1935,6.634
2019-06-27 00:00:00+00:00,1561593600,29945,58.31,12.4,5.0,8.849,10.16
2019-06-28 00:00:00+00:00,1561680000,29945,55.318,12.9,15.2,29.661,27.058
2019-06-29 00:00:00+00:00,1561766400,29945,56.653,12.0,2.7,4.4375,5.515
2019-06-30 00:00:00+00:00,1561852800,29945,61.564,7.1,10.6,22.0875,21.832
2019-07-01 00:00:00+00:00,1561939200,29945,43.058,10.6,27.5,57.1305,52.174
2019-07-02 00:00:00+00:00,1562025600,29945,38.7,10.5,8.3,16.6525,18.322
2019-07-03 00:00:00+00:00,1562112000,29945,58.317,12.5,4.6,7.891,9.571
2019-07-04 00:00:00+00:00,1562198400,29945,62.735,12.7,1.1,1.087,1.406
2019-07-05 00:00:00+00:00,1562284800,29945,55.842,13.3,1.3,1.4260000000000002,1.83
2019-07-06 00:00:00+00:00,1562371200,29945,58.547,12.3,4.4,7.469,8.249
2019-07-07 00:00:00+00:00,1562457600,29945,59.708,14.4,10.4,18.6085,20.183
2019-07-08 00:00:00+00:00,1562544000,29945,72.663,9.3,9.6,18.442,20.292
2019-07-09 00:00:00+00:00,1562630400,29945,61.904,7.2,27.8,60.346,53.786
